"Label (Grouping)","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!Percent!!Estimate","New York!!Percent!!Margin of Error","Albany County, New York!!Total!!Estimate","Albany County, New York!!Total!!Margin of Error","Albany County, New York!!Percent!!Estimate","Albany County, New York!!Percent!!Margin of Error","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Total!!Margin of Error","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Percent!!Margin of Error","Broome County, New York!!Total!!Estimate","Broome County, New York!!Total!!Margin of Error","Broome County, New York!!Percent!!Estimate","Broome County, New York!!Percent!!Margin of Error","Cattaraugus County, New York!!Total!!Estimate","Cattaraugus County, New York!!Total!!Margin of Error","Cattaraugus County, New York!!Percent!!Estimate","Cattaraugus County, New York!!Percent!!Margin of Error","Cayuga County, New York!!Total!!Estimate","Cayuga County, New York!!Total!!Margin of Error","Cayuga County, New York!!Percent!!Estimate","Cayuga County, New York!!Percent!!Margin of Error","Chautauqua County, New York!!Total!!Estimate","Chautauqua County, New York!!Total!!Margin of Error","Chautauqua County, New York!!Percent!!Estimate","Chautauqua County, New York!!Percent!!Margin of Error","Chemung County, New York!!Total!!Estimate","Chemung County, New York!!Total!!Margin of Error","Chemung County, New York!!Percent!!Estimate","Chemung County, New York!!Percent!!Margin of Error","Clinton County, New York!!Total!!Estimate","Clinton County, New York!!Total!!Margin of Error","Clinton County, New York!!Percent!!Estimate","Clinton County, New York!!Percent!!Margin of Error","Dutchess County, New York!!Total!!Estimate","Dutchess County, New York!!Total!!Margin of Error","Dutchess County, New York!!Percent!!Estimate","Dutchess County, New York!!Percent!!Margin of Error","Erie County, New York!!Total!!Estimate","Erie County, New York!!Total!!Margin of Error","Erie County, New York!!Percent!!Estimate","Erie County, New York!!Percent!!Margin of Error","Jefferson County, New York!!Total!!Estimate","Jefferson County, New York!!Total!!Margin of Error","Jefferson County, New York!!Percent!!Estimate","Jefferson County, New York!!Percent!!Margin of Error","Kings County, New York!!Total!!Estimate","Kings County, New York!!Total!!Margin of Error","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Percent!!Margin of Error","Madison County, New York!!Total!!Estimate","Madison County, New York!!Total!!Margin of Error","Madison County, New York!!Percent!!Estimate","Madison County, New York!!Percent!!Margin of Error","Monroe County, New York!!Total!!Estimate","Monroe County, New York!!Total!!Margin of Error","Monroe County, New York!!Percent!!Estimate","Monroe County, New York!!Percent!!Margin of Error","Nassau County, New York!!Total!!Estimate","Nassau County, New York!!Total!!Margin of Error","Nassau County, New York!!Percent!!Estimate","Nassau County, New York!!Percent!!Margin of Error","New York County, New York!!Total!!Estimate","New York County, New York!!Total!!Margin of Error","New York County, New York!!Percent!!Estimate","New York County, New York!!Percent!!Margin of Error","Niagara County, New York!!Total!!Estimate","Niagara County, New York!!Total!!Margin of Error","Niagara County, New York!!Percent!!Estimate","Niagara County, New York!!Percent!!Margin of Error","Oneida County, New York!!Total!!Estimate","Oneida County, New York!!Total!!Margin of Error","Oneida County, New York!!Percent!!Estimate","Oneida County, New York!!Percent!!Margin of Error","Onondaga County, New York!!Total!!Estimate","Onondaga County, New York!!Total!!Margin of Error","Onondaga County, New York!!Percent!!Estimate","Onondaga County, New York!!Percent!!Margin of Error","Ontario County, New York!!Total!!Estimate","Ontario County, New York!!Total!!Margin of Error","Ontario County, New York!!Percent!!Estimate","Ontario County, New York!!Percent!!Margin of Error","Orange County, New York!!Total!!Estimate","Orange County, New York!!Total!!Margin of Error","Orange County, New York!!Percent!!Estimate","Orange County, New York!!Percent!!Margin of Error","Oswego County, New York!!Total!!Estimate","Oswego County, New York!!Total!!Margin of Error","Oswego County, New York!!Percent!!Estimate","Oswego County, New York!!Percent!!Margin of Error","Putnam County, New York!!Total!!Estimate","Putnam County, New York!!Total!!Margin of Error","Putnam County, New York!!Percent!!Estimate","Putnam County, New York!!Percent!!Margin of Error","Queens County, New York!!Total!!Estimate","Queens County, New York!!Total!!Margin of Error","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Percent!!Margin of Error","Rensselaer County, New York!!Total!!Estimate","Rensselaer County, New York!!Total!!Margin of Error","Rensselaer County, New York!!Percent!!Estimate","Rensselaer County, New York!!Percent!!Margin of Error","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Total!!Margin of Error","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Percent!!Margin of Error","Rockland County, New York!!Total!!Estimate","Rockland County, New York!!Total!!Margin of Error","Rockland County, New York!!Percent!!Estimate","Rockland County, New York!!Percent!!Margin of Error","St. Lawrence County, New York!!Total!!Estimate","St. Lawrence County, New York!!Total!!Margin of Error","St. Lawrence County, New York!!Percent!!Estimate","St. Lawrence County, New York!!Percent!!Margin of Error","Saratoga County, New York!!Total!!Estimate","Saratoga County, New York!!Total!!Margin of Error","Saratoga County, New York!!Percent!!Estimate","Saratoga County, New York!!Percent!!Margin of Error","Schenectady County, New York!!Total!!Estimate","Schenectady County, New York!!Total!!Margin of Error","Schenectady County, New York!!Percent!!Estimate","Schenectady County, New York!!Percent!!Margin of Error","Steuben County, New York!!Total!!Estimate","Steuben County, New York!!Total!!Margin of Error","Steuben County, New York!!Percent!!Estimate","Steuben County, New York!!Percent!!Margin of Error","Suffolk County, New York!!Total!!Estimate","Suffolk County, New York!!Total!!Margin of Error","Suffolk County, New York!!Percent!!Estimate","Suffolk County, New York!!Percent!!Margin of Error","Sullivan County, New York!!Total!!Estimate","Sullivan County, New York!!Total!!Margin of Error","Sullivan County, New York!!Percent!!Estimate","Sullivan County, New York!!Percent!!Margin of Error","Tompkins County, New York!!Total!!Estimate","Tompkins County, New York!!Total!!Margin of Error","Tompkins County, New York!!Percent!!Estimate","Tompkins County, New York!!Percent!!Margin of Error","Ulster County, New York!!Total!!Estimate","Ulster County, New York!!Total!!Margin of Error","Ulster County, New York!!Percent!!Estimate","Ulster County, New York!!Percent!!Margin of Error","Warren County, New York!!Total!!Estimate","Warren County, New York!!Total!!Margin of Error","Warren County, New York!!Percent!!Estimate","Warren County, New York!!Percent!!Margin of Error","Wayne County, New York!!Total!!Estimate","Wayne County, New York!!Total!!Margin of Error","Wayne County, New York!!Percent!!Estimate","Wayne County, New York!!Percent!!Margin of Error","Westchester County, New York!!Total!!Estimate","Westchester County, New York!!Total!!Margin of Error","Westchester County, New York!!Percent!!Estimate","Westchester County, New York!!Percent!!Margin of Error"
"        White alone","8,568,670","±20,971","61.4%","±0.1","180,784","±3,244","74.1%","±1.3","123,997","±6,030","15.0%","±0.7","130,190","±1,592","85.2%","±1.0","53,158","±569","90.6%","±1.0","53,321","±961","89.8%","±1.6","85,821","±1,146","87.9%","±1.2","56,325","±468","88.7%","±0.9","56,966","±735","91.3%","±1.3","169,815","±2,620","74.0%","±1.2","572,739","±2,882","78.2%","±0.4","71,962","±807","84.2%","±1.2","673,708","±8,016","40.0%","±0.5","50,196","±372","93.4%","±0.6","434,532","±3,187","74.8%","±0.6","620,534","±4,961","62.5%","±0.6","628,443","±10,288","53.5%","±0.7","141,994","±1,596","85.5%","±0.9","145,993","±1,934","84.2%","±1.0","287,390","±1,879","80.4%","±0.5","81,614","±956","90.7%","±1.5","183,055","±2,367","66.3%","±1.1","87,733","±1,027","93.0%","±1.1","59,438","±922","79.0%","±1.7","444,049","±6,989","31.3%","±0.5","106,516","±1,071","84.9%","±0.9","223,835","±3,160","64.3%","±1.0","141,353","±2,674","67.2%","±1.4","78,007","±990","92.8%","±0.8","171,416","±1,894","90.5%","±0.9","87,894","±2,224","73.1%","±1.7","66,624","±538","92.3%","±0.8","801,973","±5,183","71.9%","±0.5","43,899","±960","75.7%","±1.8","64,419","±1,639","79.4%","±1.7","116,487","±1,866","79.8%","±1.3","N","N","N","N","N","N","N","N","403,073","±5,154","58.5%","±0.8"
"        Black or African American alone","2,003,005","±21,595","14.4%","±0.1","26,542","±2,065","10.9%","±0.8","298,775","±10,610","36.1%","±1.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","21,419","±1,997","9.3%","±0.9","85,815","±2,319","11.7%","±0.3","3,557","±876","4.2%","±1.0","509,097","±8,251","30.3%","±0.4","N","N","N","N","75,400","±2,671","13.0%","±0.5","113,872","±4,998","11.5%","±0.5","170,895","±6,096","14.6%","±0.5","N","N","N","N","N","N","N","N","34,333","±1,923","9.6%","±0.5","N","N","N","N","33,769","±2,496","12.2%","±0.9","N","N","N","N","N","N","N","N","282,701","±6,060","20.0%","±0.4","N","N","N","N","31,525","±1,963","9.1%","±0.5","24,636","±1,632","11.7%","±0.8","N","N","N","N","3,465","±448","1.8%","±0.2","14,051","±1,250","11.7%","±1.1","N","N","N","N","82,364","±3,745","7.4%","±0.3","5,683","±696","9.8%","±1.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","94,476","±4,244","13.7%","±0.6"
"        Asian alone","1,032,499","±12,482","7.4%","±0.1","11,723","±1,571","4.8%","±0.6","31,971","±2,420","3.9%","±0.3","5,127","±1,079","3.4%","±0.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","6,564","±867","2.9%","±0.4","22,832","±2,067","3.1%","±0.3","N","N","N","N","179,128","±5,464","10.6%","±0.3","N","N","N","N","16,234","±1,152","2.8%","±0.2","107,286","±3,598","10.8%","±0.3","121,161","±5,945","10.3%","±0.5","N","N","N","N","4,512","±803","2.6%","±0.5","8,520","±1,139","2.4%","±0.3","N","N","N","N","7,073","±1,097","2.6%","±0.4","N","N","N","N","N","N","N","N","335,635","±7,525","23.7%","±0.5","2,753","±453","2.2%","±0.4","42,521","±2,381","12.2%","±0.7","14,304","±979","6.8%","±0.5","N","N","N","N","2,873","±836","1.5%","±0.4","3,204","±1,388","2.7%","±1.2","N","N","N","N","44,947","±2,460","4.0%","±0.2","N","N","N","N","4,970","±815","6.1%","±1.0","2,205","±547","1.5%","±0.4","N","N","N","N","N","N","N","N","38,764","±2,396","5.6%","±0.3"
"        American Indian and Alaska Native alone","70,266","±6,591","0.5%","±0.1","N","N","N","N","12,238","±2,650","1.5%","±0.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,576","±1,746","0.5%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,701","±1,807","1.3%","±0.7","N","N","N","N","N","N","N","N","12,850","±2,435","0.9%","±0.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,827","±2,534","0.7%","±0.4"
"        Native Hawaiian and Other Pacific Islander alone","5,654","±1,713","0.0%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some Other Race alone","1,064,266","±25,209","7.6%","±0.2","8,007","±3,078","3.3%","±1.3","241,422","±10,816","29.2%","±1.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","9,477","±2,079","4.1%","±0.9","16,671","±2,439","2.3%","±0.3","N","N","N","N","142,109","±7,623","8.4%","±0.4","N","N","N","N","20,090","±3,292","3.5%","±0.6","60,128","±6,322","6.1%","±0.6","119,437","±8,927","10.2%","±0.8","N","N","N","N","N","N","N","N","5,176","±1,200","1.4%","±0.3","N","N","N","N","21,142","±4,074","7.7%","±1.4","N","N","N","N","5,549","±1,570","7.4%","±2.0","181,900","±10,883","12.8%","±0.7","N","N","N","N","15,596","±3,510","4.5%","±1.0","12,606","±3,340","6.0%","±1.5","N","N","N","N","N","N","N","N","4,905","±1,497","4.1%","±1.2","N","N","N","N","80,560","±7,495","7.2%","±0.7","N","N","N","N","N","N","N","N","6,024","±1,460","4.1%","±1.0","N","N","N","N","N","N","N","N","73,595","±5,745","10.7%","±0.8"
"        Two or More Races","1,201,040","±26,512","8.6%","±0.2","16,439","±2,253","6.7%","±0.9","118,327","±10,079","14.3%","±1.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","20,899","±3,037","9.1%","±1.3","30,865","±3,524","4.2%","±0.5","N","N","N","N","170,345","±10,906","10.1%","±0.6","N","N","N","N","33,504","±3,563","5.8%","±0.6","89,563","±8,081","9.0%","±0.8","130,332","±9,210","11.1%","±0.8","N","N","N","N","N","N","N","N","19,585","±2,393","5.5%","±0.7","N","N","N","N","27,468","±4,149","9.9%","±1.5","N","N","N","N","6,738","±1,458","9.0%","±1.9","158,345","±10,674","11.2%","±0.7","N","N","N","N","32,947","±3,840","9.5%","±1.1","16,792","±2,724","8.0%","±1.3","N","N","N","N","N","N","N","N","9,709","±2,330","8.1%","±1.9","N","N","N","N","101,642","±6,975","9.1%","±0.6","5,183","±1,180","8.9%","±2.0","5,311","±1,084","6.5%","±1.3","10,626","±1,978","7.3%","±1.3","N","N","N","N","N","N","N","N","73,460","±7,100","10.7%","±1.0"
"        Hispanic or Latino","2,142,552","±21,081","15.4%","±0.1","15,261","±664","6.3%","±0.3","418,112","±9,696","50.5%","±0.7","6,813","±455","4.5%","±0.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","26,766","±2,251","11.7%","±0.9","38,687","±1,032","5.3%","±0.1","N","N","N","N","273,805","±6,139","16.3%","±0.3","N","N","N","N","46,949","±1,480","8.1%","±0.2","137,376","±4,463","13.8%","±0.4","251,750","±7,295","21.4%","±0.5","N","N","N","N","9,773","±523","5.6%","±0.3","16,452","±788","4.6%","±0.2","3,207","±930","3.6%","±1.0","51,111","±3,497","18.5%","±1.0","N","N","N","N","11,398","±1,557","15.1%","±1.8","313,450","±9,531","22.1%","±0.5","5,357","±733","4.3%","±0.6","55,450","±3,561","15.9%","±0.9","28,584","±2,753","13.6%","±1.2","N","N","N","N","6,081","±452","3.2%","±0.2","7,711","±709","6.4%","±0.5","N","N","N","N","177,553","±5,418","15.9%","±0.4","7,202","±736","12.4%","±1.2","4,719","±384","5.8%","±0.4","13,387","±979","9.2%","±0.6","N","N","N","N","N","N","N","N","151,280","±6,362","22.0%","±0.7"
"        White alone, Not Hispanic or Latino","8,281,888","±16,097","59.4%","±0.1","178,529","±3,128","73.2%","±1.3","91,273","±2,381","11.0%","±0.4","128,163","±1,083","83.9%","±0.7","52,844","±524","90.0%","±0.9","53,140","±918","89.5%","±1.6","84,182","±1,088","86.2%","±1.0","55,524","±312","87.4%","±0.7","56,186","±651","90.1%","±1.4","164,331","±2,025","71.6%","±1.1","565,273","±2,490","77.2%","±0.4","70,893","±654","82.9%","±1.0","640,450","±7,532","38.1%","±0.4","49,953","±330","92.9%","±0.6","422,480","±2,263","72.7%","±0.5","601,202","±2,967","60.6%","±0.5","595,598","±7,797","50.7%","±0.5","140,933","±1,539","84.9%","±0.9","143,305","±1,547","82.7%","±0.8","283,953","±1,674","79.5%","±0.5","80,428","±681","89.4%","±1.6","175,918","±1,819","63.7%","±1.0","86,380","±899","91.5%","±0.9","57,955","±491","77.0%","±1.8","409,893","±5,134","28.9%","±0.4","105,175","±965","83.9%","±0.8","212,307","±2,625","61.0%","±0.9","136,939","±2,121","65.1%","±1.2","77,430","±815","92.1%","±0.6","169,008","±1,549","89.2%","±0.8","86,724","±2,102","72.1%","±1.6","66,415","±504","92.0%","±0.7","775,632","±3,457","69.6%","±0.5","42,718","±576","73.7%","±1.4","63,276","±1,563","78.0%","±1.5","114,270","±1,596","78.3%","±1.2","N","N","N","N","N","N","N","N","384,504","±4,098","55.8%","±0.7"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than 9th grade","545,286","±15,857","3.9%","±0.1","3,909","±1,067","1.6%","±0.4","67,339","±6,109","8.1%","±0.7","3,728","±1,078","2.4%","±0.7","2,512","±877","4.3%","±1.5","1,989","±576","3.4%","±1.0","4,048","±1,081","4.1%","±1.1","1,008","±459","1.6%","±0.7","1,972","±789","3.2%","±1.3","4,899","±1,180","2.1%","±0.5","16,106","±2,196","2.2%","±0.3","1,883","±726","2.2%","±0.8","92,795","±5,829","5.5%","±0.3","1,279","±535","2.4%","±1.0","16,007","±2,544","2.8%","±0.4","28,611","±3,491","2.9%","±0.4","46,657","±5,403","4.0%","±0.5","4,239","±2,068","2.6%","±1.2","4,189","±1,214","2.4%","±0.7","8,417","±1,641","2.4%","±0.5","1,292","±731","1.4%","±0.8","8,051","±1,896","2.9%","±0.7","1,917","±608","2.0%","±0.6","1,188","±596","1.6%","±0.8","99,737","±6,514","7.0%","±0.4","3,025","±1,198","2.4%","±1.0","13,351","±1,605","3.8%","±0.5","7,410","±2,016","3.5%","±1.0","2,010","±712","2.4%","±0.8","4,331","±1,346","2.3%","±0.7","3,017","±988","2.5%","±0.8","1,465","±407","2.0%","±0.6","29,236","±2,785","2.6%","±0.2","2,042","±783","3.5%","±1.4","1,390","±703","1.7%","±0.9","2,951","±885","2.0%","±0.6","524","±239","1.0%","±0.4","2,231","±773","3.1%","±1.1","20,573","±2,696","3.0%","±0.4"
"        9th to 12th grade, no diploma","753,695","±18,903","5.4%","±0.1","8,129","±1,719","3.3%","±0.7","88,456","±8,691","10.7%","±1.0","7,856","±1,764","5.1%","±1.2","3,882","±763","6.6%","±1.3","3,773","±776","6.4%","±1.3","6,507","±1,303","6.7%","±1.3","3,867","±1,065","6.1%","±1.7","3,685","±832","5.9%","±1.3","9,430","±1,502","4.1%","±0.6","36,899","±4,296","5.0%","±0.6","4,275","±961","5.0%","±1.1","104,859","±6,484","6.2%","±0.4","2,822","±422","5.2%","±0.8","28,476","±2,834","4.9%","±0.5","31,070","±3,535","3.1%","±0.4","49,355","±7,476","4.2%","±0.6","9,203","±1,503","5.5%","±0.9","12,600","±1,980","7.3%","±1.1","17,653","±2,133","4.9%","±0.6","3,793","±949","4.2%","±1.1","16,516","±2,801","6.0%","±1.0","6,552","±1,296","6.9%","±1.4","2,382","±1,102","3.2%","±1.5","82,439","±5,479","5.8%","±0.4","5,657","±1,343","4.5%","±1.1","17,932","±2,688","5.2%","±0.8","12,350","±1,684","5.9%","±0.8","5,594","±1,104","6.7%","±1.3","5,665","±1,415","3.0%","±0.7","5,373","±1,472","4.5%","±1.2","4,594","±795","6.4%","±1.1","41,659","±4,091","3.7%","±0.4","5,258","±1,236","9.1%","±2.1","1,778","±590","2.2%","±0.7","7,049","±1,216","4.8%","±0.8","2,749","±874","5.1%","±1.6","4,266","±1,076","6.0%","±1.5","33,509","±3,942","4.9%","±0.6"
"        High school graduate (includes equivalency)","3,457,940","±29,927","24.8%","±0.2","61,025","±4,457","25.0%","±1.8","240,272","±10,917","29.0%","±1.2","47,219","±3,100","30.9%","±2.1","23,300","±1,471","39.7%","±2.5","20,551","±1,692","34.6%","±2.9","32,132","±2,702","32.9%","±2.7","22,896","±2,038","36.0%","±3.2","19,649","±2,242","31.5%","±3.6","59,492","±4,437","25.9%","±1.9","202,683","±8,094","27.7%","±1.1","31,086","±2,468","36.4%","±2.9","378,646","±11,444","22.5%","±0.6","15,669","±888","29.1%","±1.7","139,823","±6,130","24.1%","±1.1","198,740","±9,294","20.0%","±0.9","141,329","±8,816","12.0%","±0.7","58,167","±3,881","35.0%","±2.3","54,273","±3,357","31.3%","±1.9","89,306","±4,273","25.0%","±1.2","23,511","±2,221","26.1%","±2.5","78,604","±5,123","28.5%","±1.8","34,379","±2,539","36.4%","±2.7","17,715","±1,986","23.5%","±2.6","331,347","±10,151","23.4%","±0.6","33,599","±2,603","26.8%","±2.1","101,081","±5,441","29.0%","±1.5","47,241","±3,354","22.5%","±1.6","25,087","±1,953","29.8%","±2.3","46,371","±3,378","24.5%","±1.8","32,606","±2,891","27.1%","±2.3","27,926","±1,804","38.7%","±2.5","279,433","±9,231","25.1%","±0.8","18,041","±1,727","31.1%","±2.9","13,375","±2,088","16.5%","±2.6","42,158","±3,471","28.9%","±2.3","14,987","±1,603","27.9%","±3.0","22,648","±2,325","31.9%","±3.3","135,842","±8,255","19.7%","±1.1"
"        Some college, no degree","2,416,508","±27,689","17.3%","±0.2","42,843","±3,491","17.6%","±1.4","160,126","±8,533","19.3%","±1.0","31,761","±2,989","20.8%","±1.9","9,843","±1,478","16.8%","±2.5","10,215","±1,324","17.2%","±2.2","18,450","±1,846","18.9%","±1.8","11,766","±1,760","18.5%","±2.8","14,880","±1,613","23.9%","±2.6","45,148","±3,856","19.7%","±1.6","134,821","±6,598","18.4%","±0.9","17,628","±2,126","20.6%","±2.5","259,111","±10,724","15.4%","±0.6","11,838","±933","22.0%","±1.7","106,834","±5,055","18.4%","±0.9","160,508","±8,433","16.2%","±0.9","155,472","±9,472","13.2%","±0.8","31,327","±2,777","18.9%","±1.7","38,463","±2,688","22.2%","±1.5","63,469","±3,934","17.8%","±1.1","16,443","±1,869","18.3%","±2.0","57,945","±4,447","21.0%","±1.6","21,563","±1,798","22.9%","±1.9","12,143","±1,444","16.1%","±1.9","242,354","±9,249","17.1%","±0.6","23,473","±2,273","18.7%","±1.8","64,458","±3,826","18.5%","±1.1","38,763","±3,204","18.4%","±1.5","20,964","±1,931","24.9%","±2.3","32,445","±2,717","17.1%","±1.5","24,774","±2,781","20.6%","±2.2","10,523","±1,121","14.6%","±1.6","204,332","±8,789","18.3%","±0.8","10,613","±1,419","18.3%","±2.4","21,740","±2,145","26.8%","±2.6","27,004","±2,961","18.5%","±2.0","8,736","±1,323","16.2%","±2.5","14,301","±1,721","20.1%","±2.4","92,699","±5,223","13.5%","±0.8"
"        Associate's degree","1,270,605","±22,149","9.1%","±0.2","28,371","±2,711","11.6%","±1.1","69,834","±5,446","8.4%","±0.7","19,232","±2,149","12.6%","±1.4","7,356","±1,002","12.5%","±1.7","8,373","±1,249","14.1%","±2.1","14,617","±1,452","15.0%","±1.5","7,527","±1,192","11.8%","±1.9","6,468","±1,060","10.4%","±1.7","22,739","±2,294","9.9%","±1.0","83,714","±4,944","11.4%","±0.7","10,915","±1,796","12.8%","±2.1","112,973","±6,837","6.7%","±0.4","7,210","±950","13.4%","±1.8","66,438","±4,614","11.4%","±0.8","97,062","±6,526","9.8%","±0.6","39,124","±5,338","3.3%","±0.5","21,113","±2,074","12.7%","±1.3","19,918","±2,324","11.5%","±1.3","42,561","±3,484","11.9%","±1.0","11,062","±1,446","12.3%","±1.6","29,063","±3,520","10.5%","±1.3","11,451","±1,548","12.1%","±1.6","5,884","±1,236","7.8%","±1.6","116,024","±6,991","8.2%","±0.5","16,177","±1,887","12.9%","±1.5","25,557","±3,187","7.3%","±0.9","17,186","±2,500","8.2%","±1.2","10,375","±1,285","12.3%","±1.5","21,166","±2,531","11.2%","±1.3","14,103","±1,832","11.7%","±1.5","10,524","±1,131","14.6%","±1.6","116,579","±5,950","10.5%","±0.5","5,315","±1,072","9.2%","±1.8","3,998","±944","4.9%","±1.2","12,469","±2,066","8.5%","±1.4","7,351","±1,355","13.7%","±2.5","9,352","±1,628","13.2%","±2.3","38,806","±3,144","5.6%","±0.5"
"        Bachelor's degree","3,176,760","±32,291","22.8%","±0.2","54,276","±4,075","22.2%","±1.7","130,195","±7,132","15.7%","±0.8","26,774","±2,758","17.5%","±1.8","6,803","±1,301","11.6%","±2.2","7,914","±1,381","13.3%","±2.3","11,632","±1,662","11.9%","±1.7","10,085","±1,536","15.9%","±2.4","9,003","±1,617","14.4%","±2.6","47,249","±3,195","20.6%","±1.4","148,046","±6,823","20.2%","±0.9","10,892","±1,606","12.7%","±1.9","445,137","±11,588","26.5%","±0.7","7,732","±982","14.4%","±1.8","131,088","±4,957","22.6%","±0.9","267,246","±10,099","26.9%","±1.0","411,634","±13,096","35.1%","±1.0","24,254","±2,067","14.6%","±1.3","27,089","±3,033","15.6%","±1.7","78,271","±3,955","21.9%","±1.1","19,244","±1,814","21.4%","±1.9","50,437","±4,030","18.3%","±1.4","12,820","±1,737","13.6%","±1.8","19,503","±2,172","25.9%","±2.8","342,331","±10,693","24.2%","±0.8","23,913","±2,381","19.1%","±1.9","79,067","±5,528","22.7%","±1.5","49,068","±3,884","23.3%","±1.8","10,720","±1,468","12.8%","±1.8","46,303","±3,284","24.4%","±1.7","21,522","±2,450","17.9%","±2.1","9,342","±1,237","12.9%","±1.7","244,829","±7,854","22.0%","±0.7","9,421","±1,267","16.3%","±2.2","17,699","±2,357","21.8%","±2.9","31,484","±2,839","21.6%","±1.9","11,605","±1,512","21.6%","±2.8","11,186","±1,550","15.8%","±2.2","193,015","±8,586","28.0%","±1.2"
"        Graduate or professional degree","2,324,606","±28,466","16.7%","±0.2","45,429","±3,766","18.6%","±1.5","71,587","±6,433","8.6%","±0.8","16,158","±1,902","10.6%","±1.2","4,996","±942","8.5%","±1.6","6,530","±1,117","11.0%","±1.9","10,296","±1,282","10.5%","±1.3","6,381","±1,186","10.0%","±1.9","6,727","±1,392","10.8%","±2.2","40,536","±2,870","17.7%","±1.3","110,009","±5,500","15.0%","±0.8","8,788","±1,266","10.3%","±1.5","289,330","±9,206","17.2%","±0.5","7,213","±848","13.4%","±1.6","92,106","±4,993","15.9%","±0.9","209,648","±7,772","21.1%","±0.8","330,171","±10,730","28.1%","±0.8","17,717","±2,263","10.7%","±1.4","16,831","±1,949","9.7%","±1.1","57,576","±3,785","16.1%","±1.0","14,611","±2,004","16.2%","±2.2","35,592","±2,747","12.9%","±1.0","5,682","±924","6.0%","±1.0","16,445","±1,886","21.9%","±2.5","202,767","±7,782","14.3%","±0.5","19,571","±2,202","15.6%","±1.7","46,667","±4,437","13.4%","±1.3","38,363","±3,459","18.2%","±1.6","9,297","±1,485","11.1%","±1.8","33,167","±3,314","17.5%","±1.7","18,898","±1,993","15.7%","±1.7","7,814","±1,260","10.8%","±1.7","198,933","±7,002","17.8%","±0.6","7,283","±1,374","12.6%","±2.4","21,127","±2,715","26.0%","±3.2","22,828","±2,425","15.6%","±1.7","7,841","±1,296","14.6%","±2.4","7,022","±1,234","9.9%","±1.7","174,155","±6,986","25.3%","±1.1"
